iter	RMSE
0	2.340330543
1	2.17169308
2	2.020212749
3	1.885345204
4	1.760649601
5	1.648437033
6	1.547382071
7	1.456843773
8	1.371380737
9	1.295482992
10	1.224578534
11	1.160871008
12	1.102008469
13	1.048805837
14	1.004258148
15	0.9544263633
16	0.9111314571
17	0.8714164251
18	0.8332488169
19	0.7999139637
20	0.7680445707
21	0.7400275206
22	0.7110460927
23	0.6844670022
24	0.6606671467
25	0.6353947778
26	0.6140888659
27	0.5921958713
28	0.5744444096
29	0.5554096567
30	0.5371081539
31	0.5210388304
32	0.504951008
33	0.4894680962
34	0.474947985
35	0.4616149516
36	0.4475888676
37	0.4356224753
38	0.4239830514
39	0.4131428089
40	0.4030162328
41	0.3942522468
42	0.3854050534
43	0.3775097988
44	0.3693938188
45	0.3618332298
46	0.3544024005
47	0.348330222
48	0.3412575842
49	0.3355293719
50	0.330258776
51	0.3255758633
52	0.3215953464
53	0.3160300648
54	0.3110212314
55	0.3071944045
56	0.3037070495
57	0.2994241677
58	0.2956008944
59	0.2926808563
60	0.2893383977
61	0.2860933871
62	0.2836709956
63	0.2813870123
64	0.278826671
65	0.2763757925
66	0.2741293065
67	0.2720314904
68	0.2703830401
69	0.2688045567
70	0.267125394
71	0.2655079326
72	0.2639890015
73	0.2625963641
74	0.261410424
75	0.2599958066
76	0.2589622585
77	0.2577760432
78	0.2567716753
79	0.2562747477
80	0.2556161005
81	0.2551575318
82	0.2542314875
83	0.2534236714
84	0.252986221
85	0.2519662353
86	0.2510376584
87	0.2500525338
88	0.2492326096
89	0.2484015741
90	0.2479784851
91	0.2472900178
92	0.2465974812
93	0.2459784191
94	0.2453218295
95	0.2447725703
96	0.2443692615
97	0.2439975429
98	0.2433361277
99	0.2427110402
100	0.2420491423
101	0.2414285981
102	0.2410702035
103	0.2404436921
104	0.2401115689
105	0.2398054326
106	0.2392422642
107	0.2387401011
108	0.2381988413
109	0.2379074673
110	0.2374609816
111	0.2372199041
112	0.2369550563
113	0.2364143162
114	0.2359611167
115	0.2355024335
116	0.2351784142
117	0.2349385927
118	0.2345136904
119	0.2338898106
120	0.233503291
121	0.2330038143
122	0.2325344981
123	0.2321440632
124	0.2318310653
125	0.2314933434
126	0.231263698
127	0.2310521581
128	0.2307269483
129	0.2305306155
130	0.2301388202
131	0.2296048915
132	0.229192626
133	0.2288799164
134	0.2285864161
135	0.2282414944
136	0.2277962827
137	0.2275270107
138	0.2272108965
139	0.2270145444
140	0.2266550065
141	0.226490638
142	0.2261209541
143	0.2258118912
144	0.2256540813
145	0.2253269018
146	0.2249663115
147	0.2246496206
148	0.2242975586
149	0.2240804629
150	0.2238121979
151	0.2235693275
152	0.2233505743
153	0.223112885
154	0.2226845212
155	0.2223831758
156	0.2221463541
157	0.2217941098
158	0.2215695511
159	0.2212712487
160	0.2210408781
161	0.2206818321
162	0.2203814273
163	0.2202604185
164	0.220115932
165	0.2198249224
166	0.2195782379
167	0.2192953154
168	0.2190728918
169	0.2189443652
170	0.2186397775
171	0.2184591126
172	0.2182140963
173	0.2180108074
174	0.2177314373
175	0.2175216397
176	0.2173558731
177	0.2170909875
178	0.2168394308
179	0.2165812757
180	0.2163844125
181	0.2161562658
182	0.215960652
183	0.2156705568
184	0.2153903093
185	0.2151681065
186	0.2149521052
187	0.214843715
188	0.2146839524
189	0.2144377022
190	0.2142051788
191	0.2139702234
192	0.2137560728
193	0.213590574
194	0.2133636417
195	0.21315747
196	0.2129863576
197	0.2127688555
198	0.2125383847
199	0.2123308095
200	0.2121391207
201	0.2119900356
202	0.211870489
203	0.2116917211
204	0.2115043034
205	0.2113443723
206	0.2111963715
207	0.2110007221
208	0.2107777098
209	0.2105943144
210	0.2104985157
211	0.2103994777
212	0.2101746895
213	0.2100091475
214	0.2098686413
215	0.2096484213
216	0.2094635416
217	0.2092810574
218	0.2091258422
219	0.2089690576
220	0.2087887204
221	0.2086153514
222	0.2084534637
223	0.208295097
224	0.2080994233
225	0.2079240833
226	0.2077261773
227	0.2075258863
228	0.2073854675
229	0.2072544615
230	0.2070762195
231	0.2068974751
232	0.2067344822
233	0.2066095286
234	0.2065203088
235	0.2063723689
236	0.2062033732
237	0.2060962646
238	0.205945325
239	0.2058356413
240	0.2057013302
241	0.2055222243
242	0.2053622858
243	0.2052557276
244	0.2051109825
245	0.2049887964
246	0.2048831893
247	0.2047552105
248	0.2046770885
249	0.2045430094
250	0.2043611366
251	0.2042092827
252	0.2040795915
253	0.2039571562
254	0.2037981815
255	0.2036534863
256	0.2035853597
257	0.2035284001
258	0.203463455
259	0.2033628697
260	0.2031872697
261	0.2031048045
262	0.2030178603
263	0.2029415303
264	0.2027609362
265	0.2026588146
266	0.2025716122
267	0.2024611781
268	0.2023659445
269	0.2021912419
270	0.2021113027
271	0.2019721913
272	0.2018506836
273	0.2017156505
274	0.2015948313
275	0.2014588726
276	0.2013137512
277	0.2012264816
278	0.2011031171
279	0.200959438
280	0.2008834266
281	0.2008255584
282	0.2007141861
283	0.2005897941
284	0.200483693
285	0.2003367615
286	0.2002560219
287	0.2001858675
288	0.2000766728
289	0.1999253116
290	0.1997828108
291	0.1996888987
292	0.1995988086
293	0.1994846401
294	0.1993373344
295	0.1992607268
296	0.1991943148
297	0.1990765066
298	0.1989835463
299	0.1988948308
