iter	Passed	Remaining
0	8	2073
1	16	2029
2	24	2006
3	32	2001
4	40	1976
5	48	1975
6	56	1957
7	64	1955
8	73	1966
9	81	1961
10	89	1953
11	97	1938
12	105	1924
13	113	1916
14	121	1902
15	129	1891
16	137	1880
17	145	1872
18	154	1879
19	162	1867
20	170	1855
21	178	1847
22	186	1836
23	193	1825
24	201	1814
25	209	1804
26	217	1793
27	224	1783
28	232	1773
29	240	1764
30	248	1754
31	256	1745
32	264	1736
33	271	1726
34	279	1717
35	287	1708
36	295	1699
37	303	1691
38	310	1682
39	318	1674
40	326	1665
41	334	1656
42	342	1648
43	350	1639
44	357	1630
45	365	1621
46	373	1613
47	381	1604
48	389	1595
49	396	1587
50	404	1579
51	412	1572
52	419	1560
53	427	1552
54	435	1544
55	443	1537
56	451	1528
57	459	1520
58	467	1511
59	475	1504
60	482	1495
61	490	1487
62	498	1479
63	506	1472
64	514	1463
65	522	1455
66	529	1447
67	537	1439
68	545	1431
69	553	1423
70	561	1415
71	569	1407
72	576	1398
73	586	1394
74	593	1385
75	601	1376
76	609	1368
77	617	1360
78	624	1352
79	632	1344
80	640	1336
81	649	1330
82	657	1323
83	665	1316
84	673	1308
85	682	1302
86	690	1294
87	699	1287
88	707	1279
89	714	1270
90	722	1262
91	730	1254
92	738	1246
93	746	1238
94	754	1230
95	762	1222
96	769	1214
97	777	1206
98	785	1197
99	792	1189
100	800	1181
101	808	1172
102	816	1164
103	823	1156
104	833	1150
105	840	1142
106	848	1134
107	857	1126
108	865	1119
109	873	1111
110	880	1103
111	888	1094
112	896	1086
113	904	1078
114	911	1070
115	919	1061
116	927	1054
117	935	1046
118	942	1038
119	950	1030
120	958	1021
121	966	1014
122	974	1006
123	982	998
124	990	990
125	998	982
126	1005	974
127	1015	967
128	1022	959
129	1030	951
130	1038	943
131	1046	935
132	1054	927
133	1062	919
134	1069	911
135	1078	904
136	1086	896
137	1094	888
138	1103	881
139	1111	873
140	1119	865
141	1127	857
142	1135	849
143	1143	841
144	1151	833
145	1158	825
146	1167	818
147	1175	810
148	1183	802
149	1192	794
150	1200	786
151	1208	778
152	1216	771
153	1223	762
154	1232	755
155	1239	747
156	1247	739
157	1255	731
158	1263	723
159	1271	715
160	1280	707
161	1288	699
162	1296	691
163	1304	683
164	1312	675
165	1319	667
166	1327	659
167	1335	652
168	1343	644
169	1351	636
170	1360	628
171	1368	620
172	1376	612
173	1384	604
174	1392	596
175	1400	588
176	1408	580
177	1415	572
178	1423	564
179	1431	556
180	1439	548
181	1447	540
182	1455	532
183	1463	524
184	1471	516
185	1478	508
186	1486	500
187	1494	492
188	1502	485
189	1510	477
190	1518	469
191	1526	461
192	1535	453
193	1543	445
194	1551	437
195	1559	429
196	1568	422
197	1576	414
198	1586	406
199	1593	398
200	1601	390
201	1609	382
202	1617	374
203	1625	366
204	1633	358
205	1641	350
206	1649	342
207	1657	334
208	1665	326
209	1672	318
210	1680	310
211	1688	302
212	1696	294
213	1704	286
214	1713	278
215	1723	271
216	1731	263
217	1739	255
218	1746	247
219	1754	239
220	1763	231
221	1770	223
222	1780	215
223	1788	207
224	1797	199
225	1806	191
226	1814	183
227	1823	175
228	1833	168
229	1841	160
230	1849	152
231	1858	144
232	1866	136
233	1875	128
234	1883	120
235	1892	112
236	1902	104
237	1912	96
238	1920	88
239	1929	80
240	1937	72
241	1945	64
242	1954	56
243	1962	48
244	1971	40
245	1979	32
246	1988	24
247	1996	16
248	2004	8
249	2013	0
