iter	RMSE
0	3050.763732
1	2383.47661
2	2054.617201
3	1912.704695
4	1824.925453
5	1763.755199
6	1725.782327
7	1704.013258
8	1678.932021
9	1663.404823
10	1649.836846
11	1634.96336
12	1622.049247
13	1611.901872
14	1601.899958
15	1588.885494
16	1579.697431
17	1575.191429
18	1569.676448
19	1563.451074
20	1553.22369
21	1538.103247
22	1531.088061
23	1524.733934
24	1517.885156
25	1511.273172
26	1503.098972
27	1499.107524
28	1488.854615
29	1479.956622
30	1477.338443
31	1468.833918
32	1463.444135
33	1458.802976
34	1454.060806
35	1448.799371
36	1445.013325
37	1442.353386
38	1435.568037
39	1429.062274
40	1423.636944
41	1421.405437
42	1418.559792
43	1415.680082
44	1410.295102
45	1405.884389
46	1397.130912
47	1390.170528
48	1385.570742
49	1383.469697
50	1377.637693
51	1370.13774
52	1366.977218
53	1364.106101
54	1361.129357
55	1357.889864
56	1355.357313
57	1353.343023
58	1351.262011
59	1346.463263
60	1340.510077
61	1338.68014
62	1335.750292
63	1334.373323
64	1330.06681
65	1326.958946
66	1321.975578
67	1320.377616
68	1316.556799
69	1313.56124
70	1310.957184
71	1309.585262
72	1306.839323
73	1305.279931
74	1302.381919
75	1300.725989
76	1297.997774
77	1295.238857
78	1293.707472
79	1292.260341
80	1290.527321
81	1285.248038
82	1284.426544
83	1281.097476
84	1277.993841
85	1273.781845
86	1268.387805
87	1266.299545
88	1264.397569
89	1263.473311
