iter	Passed	Remaining
0	306	27303
1	601	26454
2	898	26045
3	1203	25872
4	1491	25347
5	1785	25000
6	2079	24657
7	2374	24333
8	2667	24011
9	2972	23777
10	3273	23512
11	3576	23249
12	3869	22919
13	4173	22656
14	4470	22354
15	4771	22069
16	5080	21816
17	5374	21498
18	5668	21182
19	5964	20874
20	6260	20570
21	6560	20277
22	6855	19971
23	7156	19680
24	7456	19386
25	7751	19081
26	8051	18786
27	8345	18478
28	8644	18182
29	8938	17877
30	9231	17570
31	9529	17272
32	9824	16969
33	10121	16670
34	10417	16369
35	10715	16073
36	11011	15773
37	11308	15475
38	11603	15174
39	11898	14872
40	12192	14571
41	12485	14269
42	12781	13970
43	13085	13680
44	13384	13384
45	13678	13083
46	13975	12785
47	14267	12484
48	14561	12184
49	14853	11882
50	15147	11583
51	15446	11287
52	15741	10989
53	16056	10704
54	16353	10406
55	16651	10110
56	16951	9813
57	17244	9514
58	17534	9212
59	17828	8914
60	18124	8616
61	18420	8318
62	18715	8020
63	19019	7726
64	19325	7432
65	19626	7136
66	19922	6839
67	20213	6539
68	20509	6242
69	20812	5946
70	21107	5648
71	21404	5351
72	21699	5053
73	21996	4756
74	22301	4460
75	22600	4163
76	22896	3865
77	23194	3568
78	23490	3270
79	23784	2973
80	24074	2674
81	24371	2377
82	24662	2080
83	24958	1782
84	25256	1485
85	25552	1188
86	25855	891
87	26149	594
88	26443	297
89	26739	0
