iter	Passed	Remaining
0	299	59531
1	581	57538
2	859	56458
3	1128	55285
4	1400	54632
5	1676	54207
6	1959	54016
7	2227	53451
8	2503	53125
9	2779	52805
10	3055	52506
11	3329	52167
12	3585	51578
13	3844	51077
14	4123	50852
15	4382	50399
16	4639	49941
17	4893	49473
18	5150	49062
19	5406	48659
20	5670	48331
21	5948	48126
22	6227	47922
23	6503	47693
24	6782	47477
25	7040	47118
26	7312	46851
27	7579	46560
28	7846	46269
29	8122	46028
30	8375	45661
31	8629	45303
32	8890	44990
33	9167	44758
34	9434	44475
35	9713	44249
36	9985	43990
37	10263	43753
38	10520	43431
39	10786	43144
40	11040	42816
41	11311	42553
42	11575	42264
43	11839	41977
44	12106	41700
45	12356	41366
46	12617	41074
47	12877	40777
48	13131	40465
49	13400	40200
50	13660	39909
51	13931	39652
52	14197	39378
53	14456	39086
54	14733	38842
55	15002	38577
56	15271	38313
57	15539	38044
58	15805	37772
59	16070	37497
60	16341	37237
61	16610	36970
62	16876	36700
63	17154	36454
64	17424	36188
65	17692	35921
66	17962	35657
67	18238	35403
68	18512	35147
69	18787	34891
70	19054	34620
71	19323	34352
72	19592	34085
73	19852	33802
74	20113	33521
75	20368	33232
76	20621	32940
77	20870	32643
78	21123	32354
79	21377	32065
80	21629	31776
81	21893	31505
82	22157	31233
83	22421	30963
84	22682	30687
85	22937	30405
86	23201	30135
87	23476	29879
88	23748	29618
89	24009	29345
90	24276	29078
91	24530	28796
92	24784	28515
93	25053	28251
94	25319	27984
95	25581	27713
96	25850	27449
97	26111	27177
98	26358	26891
99	26609	26609
100	26874	26342
101	27144	26080
102	27418	25821
103	27685	25555
104	27954	25291
105	28218	25024
106	28476	24750
107	28752	24492
108	29017	24225
109	29273	23950
110	29537	23683
111	29791	23407
112	30048	23134
113	30312	22866
114	30583	22605
115	30850	22339
116	31112	22071
117	31368	21798
118	31627	21527
119	31884	21256
120	32145	20987
121	32414	20724
122	32683	20460
123	32947	20193
124	33221	19932
125	33486	19666
126	33749	19399
127	34013	19132
128	34277	18865
129	34548	18603
130	34818	18339
131	35080	18071
132	35342	17804
133	35601	17534
134	35865	17268
135	36133	17003
136	36385	16731
137	36641	16462
138	36893	16190
139	37146	15919
140	37400	15649
141	37659	15381
142	37921	15115
143	38182	14848
144	38447	14583
145	38715	14319
146	38980	14054
147	39243	13788
148	39507	13522
149	39773	13257
150	40039	12992
151	40295	12724
152	40565	12461
153	40817	12192
154	41079	11926
155	41335	11658
156	41603	11394
157	41856	11126
158	42126	10862
159	42390	10597
160	42661	10334
161	42917	10067
162	43184	9802
163	43449	9537
164	43717	9273
165	43980	9008
166	44241	8742
167	44496	8475
168	44763	8211
169	45037	7947
170	45306	7683
171	45571	7418
172	45833	7153
173	46098	6888
174	46344	6620
175	46597	6354
176	46856	6088
177	47120	5823
178	47388	5559
179	47650	5294
180	47918	5030
181	48185	4765
182	48445	4500
183	48702	4234
184	48970	3970
185	49227	3705
186	49494	3440
187	49758	3176
188	50034	2912
189	50298	2647
190	50562	2382
191	50820	2117
192	51083	1852
193	51330	1587
194	51590	1322
195	51856	1058
196	52125	793
197	52377	529
198	52643	264
199	52888	0
